n,sample,family,group,words,word_count,max_word_len,vertices,directed_edges,undirected_edges,components,cyclomatic_rank,generator_rank,is_cyclic_power_family,identity_present,fixed_common,trajectory_profile,seed
50,1,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v4_c2_e1_t6:1;v5_c1_e0_t6:7,20260515
50,1,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,1,fixed|v1_c36_e8_t37:1,20260515
50,1,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:7;v7_c11_e1_t18:1,20260515
50,1,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v7_c10_e0_t17:1;v8_c9_e0_t17:2;v9_c8_e0_t17:5,20260515
50,2,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,2,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,2,fixed|v1_c1_e1_t2:2,20260515
50,2,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,2,fixed|v1_c2_e1_t3:2,20260515
50,2,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,2,fixed|v1_c3_e2_t4:2,20260515
50,2,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,2,fixed|v1_c5_e2_t6:2,20260515
50,2,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v2_c1_e1_t3:1;v3_c0_e0_t3:7,20260515
50,2,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v3_c2_e0_t5:1;v4_c1_e0_t5:1;v5_c0_e0_t5:6,20260515
50,2,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v3_c2_e0_t5:1;v4_c1_e0_t5:7,20260515
50,2,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,0,ambient|v5_c0_e0_t5:8,20260515
50,2,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v3_c3_e0_t6:2;v4_c2_e0_t6:1;v5_c1_e0_t6:5,20260515
50,2,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,2,fixed|v1_c36_e8_t37:2,20260515
50,2,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:4;v9_c9_e0_t18:3;v9_c9_e1_t18:1,20260515
50,2,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v6_c11_e1_t17:1;v7_c10_e0_t17:1;v8_c9_e0_t17:1;v9_c8_e0_t17:5,20260515
50,3,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,3,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,1,fixed|v1_c1_e1_t2:1,20260515
50,3,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,3,fixed|v1_c2_e1_t3:1;v2_c1_e1_t3:2,20260515
50,3,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,1,fixed|v1_c3_e2_t4:1,20260515
50,3,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,1,fixed|v1_c5_e2_t6:1,20260515
50,3,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v2_c1_e1_t3:1;v3_c0_e0_t3:7,20260515
50,3,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e0_t5:1;v5_c0_e0_t5:7,20260515
50,3,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v3_c2_e1_t5:1;v4_c1_e0_t5:7,20260515
50,3,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,1,fixed|v4_c1_e1_t5:1,20260515
50,3,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v5_c1_e0_t6:8,20260515
50,3,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,1,fixed|v1_c36_e8_t37:1,20260515
50,3,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:6;v8_c10_e0_t18:1;v9_c9_e0_t18:1,20260515
50,3,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v8_c9_e0_t17:3;v9_c8_e0_t17:5,20260515
50,4,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,4,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,0,ambient|v2_c0_e0_t2:8,20260515
50,4,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,0,ambient|v3_c0_e0_t3:8,20260515
50,4,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,0,ambient|v3_c1_e0_t4:8,20260515
50,4,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,0,ambient|v4_c2_e0_t6:8,20260515
50,4,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v3_c0_e0_t3:8,20260515
50,4,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e0_t5:1;v4_c1_e1_t5:2;v5_c0_e0_t5:5,20260515
50,4,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v3_c2_e1_t5:2;v4_c1_e0_t5:6,20260515
50,4,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,1,fixed|v4_c1_e1_t5:1,20260515
50,4,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v4_c2_e0_t6:1;v5_c1_e0_t6:7,20260515
50,4,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,0,ambient|v6_c31_e1_t37:1;v9_c28_e0_t37:7,20260515
50,4,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:4;v6_c12_e2_t18:1;v8_c10_e0_t18:3,20260515
50,4,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v7_c10_e1_t17:1;v8_c9_e0_t17:1;v8_c9_e1_t17:1;v9_c8_e0_t17:5,20260515
50,5,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,5,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,1,fixed|v1_c1_e1_t2:1,20260515
50,5,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,1,fixed|v1_c2_e1_t3:1,20260515
50,5,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,1,fixed|v1_c3_e2_t4:1,20260515
50,5,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,1,fixed|v1_c5_e2_t6:1,20260515
50,5,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v2_c1_e1_t3:1;v3_c0_e0_t3:7,20260515
50,5,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e0_t5:1;v4_c1_e1_t5:1;v5_c0_e0_t5:6,20260515
50,5,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v3_c2_e1_t5:1;v4_c1_e0_t5:7,20260515
50,5,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,0,ambient|v3_c2_e0_t5:1;v4_c1_e0_t5:1;v5_c0_e0_t5:6,20260515
50,5,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v3_c3_e0_t6:1;v4_c2_e0_t6:1;v5_c1_e0_t6:6,20260515
50,5,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,1,fixed|v1_c36_e8_t37:1,20260515
50,5,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:4;v5_c13_e1_t18:1;v6_c12_e1_t18:1;v9_c9_e0_t18:2,20260515
50,5,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v6_c11_e1_t17:2;v8_c9_e0_t17:3;v9_c8_e0_t17:3,20260515
50,6,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,6,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,1,fixed|v1_c1_e1_t2:1,20260515
50,6,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,1,fixed|v1_c2_e1_t3:1,20260515
50,6,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,1,fixed|v1_c3_e2_t4:1,20260515
50,6,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,1,fixed|v1_c5_e2_t6:1,20260515
50,6,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v2_c1_e0_t3:1;v3_c0_e0_t3:7,20260515
50,6,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e1_t5:1;v5_c0_e0_t5:7,20260515
50,6,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e0_t5:8,20260515
50,6,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,0,ambient|v5_c0_e0_t5:8,20260515
50,6,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v4_c2_e0_t6:1;v5_c1_e0_t6:7,20260515
50,6,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,1,fixed|v1_c36_e8_t37:1,20260515
50,6,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:5;v9_c9_e0_t18:3,20260515
50,6,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v6_c11_e1_t17:1;v6_c11_e2_t17:1;v8_c9_e0_t17:2;v9_c8_e0_t17:4,20260515
50,7,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,7,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,1,fixed|v1_c1_e1_t2:1,20260515
50,7,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,1,fixed|v1_c2_e1_t3:1,20260515
50,7,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,1,fixed|v1_c3_e2_t4:1,20260515
50,7,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,1,fixed|v1_c5_e2_t6:1,20260515
50,7,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v3_c0_e0_t3:8,20260515
50,7,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e1_t5:1;v5_c0_e0_t5:7,20260515
50,7,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e0_t5:8,20260515
50,7,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,0,ambient|v5_c0_e0_t5:8,20260515
50,7,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v5_c1_e0_t6:8,20260515
50,7,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,1,fixed|v1_c36_e8_t37:1,20260515
50,7,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:3;v7_c11_e1_t18:1;v8_c10_e0_t18:1;v9_c9_e0_t18:3,20260515
50,7,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v5_c12_e1_t17:1;v6_c11_e1_t17:1;v8_c9_e0_t17:2;v9_c8_e0_t17:4,20260515
50,8,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,8,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,1,fixed|v1_c1_e1_t2:1,20260515
50,8,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,1,fixed|v1_c2_e1_t3:1,20260515
50,8,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,1,fixed|v1_c3_e2_t4:1,20260515
50,8,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,1,fixed|v1_c5_e2_t6:1,20260515
50,8,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,1,fixed|v1_c2_e2_t3:1,20260515
50,8,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,1,fixed|v1_c4_e2_t5:1,20260515
50,8,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,1,fixed|v1_c4_e2_t5:1,20260515
50,8,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,2,fixed|v1_c4_e1_t5:1;v4_c1_e1_t5:1,20260515
50,8,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,1,fixed|v1_c5_e2_t6:1,20260515
50,8,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,1,fixed|v1_c36_e8_t37:1,20260515
50,8,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,1,fixed|v1_c17_e8_t18:1,20260515
50,8,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,1,fixed|v1_c16_e8_t17:1,20260515
50,9,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,9,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,2,fixed|v1_c1_e1_t2:2,20260515
50,9,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,2,fixed|v1_c2_e1_t3:2,20260515
50,9,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,2,fixed|v1_c3_e2_t4:2,20260515
50,9,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,2,fixed|v1_c5_e2_t6:2,20260515
50,9,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v3_c0_e0_t3:8,20260515
50,9,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v3_c2_e0_t5:1;v5_c0_e0_t5:7,20260515
50,9,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v3_c2_e1_t5:1;v4_c1_e0_t5:7,20260515
50,9,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,2,fixed|v4_c1_e1_t5:2,20260515
50,9,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v5_c1_e0_t6:8,20260515
50,9,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,2,fixed|v1_c36_e8_t37:2,20260515
50,9,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:3;v5_c13_e2_t18:1;v8_c10_e0_t18:2;v8_c10_e1_t18:1;v9_c9_e1_t18:1,20260515
50,9,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v9_c8_e0_t17:8,20260515
50,10,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,10,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,1,fixed|v1_c1_e1_t2:1,20260515
50,10,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,1,fixed|v1_c2_e1_t3:1,20260515
50,10,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,1,fixed|v1_c3_e2_t4:1,20260515
50,10,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,1,fixed|v1_c5_e2_t6:1,20260515
50,10,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v3_c0_e0_t3:8,20260515
50,10,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e1_t5:1;v5_c0_e0_t5:7,20260515
50,10,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e0_t5:8,20260515
50,10,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,2,fixed|v4_c1_e1_t5:2,20260515
50,10,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v4_c2_e0_t6:1;v4_c2_e1_t6:1;v5_c1_e0_t6:6,20260515
50,10,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,1,fixed|v1_c36_e8_t37:1,20260515
50,10,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:5;v5_c13_e2_t18:1;v8_c10_e0_t18:1;v9_c9_e0_t18:1,20260515
50,10,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v8_c9_e0_t17:1;v9_c8_e0_t17:7,20260515
50,11,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,11,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,1,fixed|v1_c1_e1_t2:1,20260515
50,11,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,3,fixed|v1_c2_e1_t3:1;v2_c1_e1_t3:2,20260515
50,11,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,1,fixed|v1_c3_e2_t4:1,20260515
50,11,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,1,fixed|v1_c5_e2_t6:1,20260515
50,11,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v2_c1_e0_t3:1;v2_c1_e1_t3:3;v3_c0_e0_t3:4,20260515
50,11,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v3_c2_e0_t5:2;v4_c1_e0_t5:1;v5_c0_e0_t5:5,20260515
50,11,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v3_c2_e1_t5:1;v4_c1_e0_t5:7,20260515
50,11,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,1,fixed|v4_c1_e1_t5:1,20260515
50,11,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v3_c3_e0_t6:1;v4_c2_e0_t6:2;v5_c1_e0_t6:5,20260515
50,11,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,1,fixed|v1_c36_e8_t37:1,20260515
50,11,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:4;v6_c12_e1_t18:1;v6_c12_e2_t18:1;v8_c10_e0_t18:1;v9_c9_e0_t18:1,20260515
50,11,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v6_c11_e0_t17:1;v8_c9_e0_t17:5;v9_c8_e0_t17:2,20260515
50,12,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,12,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,1,fixed|v1_c1_e1_t2:1,20260515
50,12,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,1,fixed|v1_c2_e1_t3:1,20260515
50,12,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,1,fixed|v1_c3_e2_t4:1,20260515
50,12,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,1,fixed|v1_c5_e2_t6:1,20260515
50,12,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v3_c0_e0_t3:8,20260515
50,12,rank_two_pair_ab_ba,rank_two,ab ba,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e0_t5:1;v5_c0_e0_t5:7,20260515
50,12,rank_two_pair_ab_aB,rank_two,ab aB,2,2,3,4,4,1,2,2,0,0,0,ambient|v4_c1_e0_t5:8,20260515
50,12,commutator_single,mixed,abAB,1,4,4,4,4,1,1,2,0,0,1,fixed|v4_c1_e1_t5:1,20260515
50,12,commutator_with_a,mixed,abAB a,2,4,4,5,5,1,2,2,0,0,0,ambient|v4_c2_e0_t6:1;v4_c2_e1_t6:1;v5_c1_e0_t6:6,20260515
50,12,cyclic_eight,eight_cyclic,a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa,8,8,29,36,35,1,7,1,1,0,1,fixed|v1_c36_e8_t37:1,20260515
50,12,mixed_eight,eight_mixed,a aa ab aB ba bA abA aba,8,3,10,17,16,1,7,2,0,0,0,ambient|v10_c8_e0_t18:5;v8_c10_e0_t18:1;v9_c9_e0_t18:2,20260515
50,12,rank_two_eight,eight_rank_two,a b ab ba aB bA abA baB,8,3,9,16,16,1,8,2,0,0,0,ambient|v8_c9_e0_t17:2;v9_c8_e0_t17:6,20260515
50,13,identity_control,control,1,1,0,1,0,0,1,0,0,0,1,50,fixed|v1_c0_e1_t1:8,20260515
50,13,single_a,cyclic,a,1,1,1,1,1,1,1,1,1,0,0,ambient|v2_c0_e0_t2:8,20260515
50,13,single_a2,cyclic,aa,1,2,2,2,1,1,0,1,1,0,2,fixed|v2_c1_e1_t3:2,20260515
50,13,cyclic_pair_a_a2,cyclic,a aa,2,2,2,3,2,1,1,1,1,0,0,ambient|v3_c1_e0_t4:8,20260515
50,13,cyclic_pair_a2_a3,cyclic,aa aaa,2,3,4,5,4,1,1,1,1,0,0,ambient|v4_c2_e0_t6:8,20260515
50,13,rank_two_pair_a_b,rank_two,a b,2,1,1,2,2,1,2,2,0,0,0,ambient|v3_c0_e0_t3:8,20260515
