edge_id,edge_family,node_id,node_type,role,role_weight,edge_weight,provenance,is_synthetic
edge:source_context:poa_annua,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:3002461,taxonomic_parentage,gbif:3002461,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3002461,taxonomic_parentage,gbif:8395064,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3002461,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3002461,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:rosa_canina,regional_checklist_context,query:rosa_canina,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa_canina,regional_checklist_context,wfo:wfo-0001001226,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa_canina,regional_checklist_context,gbif:3002461,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa_canina,regional_checklist_context,ott:333885,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa_canina,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa_canina,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa_canina,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:3052436,taxonomic_parentage,gbif:3052436,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3052436,taxonomic_parentage,gbif:3052435,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3052436,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3052436,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:arabidopsis_thaliana,regional_checklist_context,query:arabidopsis_thaliana,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:arabidopsis_thaliana,regional_checklist_context,wfo:wfo-0000541830,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:arabidopsis_thaliana,regional_checklist_context,gbif:3052436,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:arabidopsis_thaliana,regional_checklist_context,ott:309263,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:arabidopsis_thaliana,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:arabidopsis_thaliana,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:arabidopsis_thaliana,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:2930137,taxonomic_parentage,gbif:2930137,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2930137,taxonomic_parentage,gbif:2928997,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2930137,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2930137,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:solanum_lycopersicum,regional_checklist_context,query:solanum_lycopersicum,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:solanum_lycopersicum,regional_checklist_context,wfo:wfo-0001029216,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:solanum_lycopersicum,regional_checklist_context,gbif:2930137,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:solanum_lycopersicum,regional_checklist_context,ott:378964,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:solanum_lycopersicum,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:solanum_lycopersicum,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:solanum_lycopersicum,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:5290052,taxonomic_parentage,gbif:5290052,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5290052,taxonomic_parentage,gbif:2705049,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5290052,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5290052,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:zea_mays,regional_checklist_context,query:zea_mays,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:zea_mays,regional_checklist_context,wfo:wfo-0000907754,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:zea_mays,regional_checklist_context,gbif:5290052,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:zea_mays,regional_checklist_context,ott:605194,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:zea_mays,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:zea_mays,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:zea_mays,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:2703459,taxonomic_parentage,gbif:2703459,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2703459,taxonomic_parentage,gbif:2703455,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2703459,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2703459,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:oryza_sativa,regional_checklist_context,query:oryza_sativa,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:oryza_sativa,regional_checklist_context,wfo:wfo-0000882438,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:oryza_sativa,regional_checklist_context,gbif:2703459,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:oryza_sativa,regional_checklist_context,ott:709894,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:oryza_sativa,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:oryza_sativa,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:oryza_sativa,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:7795888,taxonomic_parentage,gbif:7795888,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:7795888,taxonomic_parentage,gbif:2706388,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:7795888,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:7795888,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:triticum_aestivum,regional_checklist_context,query:triticum_aestivum,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:triticum_aestivum,regional_checklist_context,wfo:wfo-0000905667,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:triticum_aestivum,regional_checklist_context,gbif:7795888,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:triticum_aestivum,regional_checklist_context,ott:31926,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:triticum_aestivum,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:triticum_aestivum,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:triticum_aestivum,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:3189859,taxonomic_parentage,gbif:3189859,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3189859,taxonomic_parentage,gbif:3189834,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3189859,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3189859,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:acer_saccharum,regional_checklist_context,query:acer_saccharum,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:acer_saccharum,regional_checklist_context,wfo:wfo-0000515026,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:acer_saccharum,regional_checklist_context,gbif:3189859,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:acer_saccharum,regional_checklist_context,ott:948916,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:acer_saccharum,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:acer_saccharum,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:acer_saccharum,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:5331916,taxonomic_parentage,gbif:5331916,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5331916,taxonomic_parentage,gbif:2875008,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5331916,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5331916,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:betula_pendula,regional_checklist_context,query:betula_pendula,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:betula_pendula,regional_checklist_context,wfo:wfo-0000335449,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:betula_pendula,regional_checklist_context,gbif:5331916,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:betula_pendula,regional_checklist_context,ott:267719,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:betula_pendula,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:betula_pendula,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:betula_pendula,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:2979474,taxonomic_parentage,gbif:2979474,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2979474,taxonomic_parentage,gbif:2978223,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2979474,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:2979474,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:acacia_dealbata,regional_checklist_context,query:acacia_dealbata,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:acacia_dealbata,regional_checklist_context,wfo:wfo-0000192338,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:acacia_dealbata,regional_checklist_context,gbif:2979474,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:acacia_dealbata,regional_checklist_context,ott:274405,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:acacia_dealbata,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:acacia_dealbata,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:acacia_dealbata,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:3176787,taxonomic_parentage,gbif:3176787,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3176787,taxonomic_parentage,gbif:7493935,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3176787,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:3176787,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:eucalyptus_globulus,regional_checklist_context,query:eucalyptus_globulus,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:eucalyptus_globulus,regional_checklist_context,wfo:wfo-0000954998,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:eucalyptus_globulus,regional_checklist_context,gbif:3176787,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:eucalyptus_globulus,regional_checklist_context,ott:847929,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:eucalyptus_globulus,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:eucalyptus_globulus,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:eucalyptus_globulus,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:5284884,taxonomic_parentage,gbif:5284884,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5284884,taxonomic_parentage,gbif:7606064,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5284884,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5284884,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:picea_abies,regional_checklist_context,query:picea_abies,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:picea_abies,regional_checklist_context,wfo:wfo-0000482030,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:picea_abies,regional_checklist_context,gbif:5284884,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:picea_abies,regional_checklist_context,ott:517943,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:picea_abies,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:picea_abies,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:picea_abies,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:5285637,taxonomic_parentage,gbif:5285637,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5285637,taxonomic_parentage,gbif:2684241,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5285637,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5285637,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:pinus_sylvestris,regional_checklist_context,query:pinus_sylvestris,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:pinus_sylvestris,regional_checklist_context,wfo:wfo-0000481646,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:pinus_sylvestris,regional_checklist_context,gbif:5285637,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:pinus_sylvestris,regional_checklist_context,ott:568619,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:pinus_sylvestris,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:pinus_sylvestris,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:pinus_sylvestris,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:tax_parent:gbif:5553786,taxonomic_parentage,gbif:5553786,taxon,child_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5553786,taxonomic_parentage,gbif:3233919,taxon,parent_taxon,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5553786,taxonomic_parentage,rank:SPECIES,rank,child_rank,1.000,0.800,GBIF,false
edge:tax_parent:gbif:5553786,taxonomic_parentage,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:source_context:rhopalocarpus_alternifolius_baker_capuron,regional_checklist_context,query:rhopalocarpus_alternifolius_baker_capuron,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:rhopalocarpus_alternifolius_baker_capuron,regional_checklist_context,wfo:wfo-0000627675,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:rhopalocarpus_alternifolius_baker_capuron,regional_checklist_context,gbif:5553786,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:rhopalocarpus_alternifolius_baker_capuron,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:rhopalocarpus_alternifolius_baker_capuron,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa,regional_checklist_context,query:rosa,name_string,query_name,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa,regional_checklist_context,wfo:wfo-4000033476,taxon,wfo_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa,regional_checklist_context,gbif:8395064,taxon,gbif_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa,regional_checklist_context,ott:259066,taxon,opentree_taxon,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa,regional_checklist_context,source:wfo,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa,regional_checklist_context,source:gbif,source,source,1.000,0.700,public_source_crosswalk,false
edge:source_context:rosa,regional_checklist_context,source:opentree,source,source,1.000,0.700,public_source_crosswalk,false
edge:synonym_cluster:gbif:2703459,synonym_cluster,gbif:2703459,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2703459,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2703459,synonym_cluster,name:gbif:2703459:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2704179,synonym_cluster,gbif:2704179,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2704179,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2704179,synonym_cluster,name:gbif:2704179:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2878688,synonym_cluster,gbif:2878688,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2878688,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2878688,synonym_cluster,name:gbif:2878688:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2930137,synonym_cluster,gbif:2930137,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2930137,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2930137,synonym_cluster,name:gbif:2930137:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2979474,synonym_cluster,gbif:2979474,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2979474,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:2979474,synonym_cluster,name:gbif:2979474:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3002461,synonym_cluster,gbif:3002461,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3002461,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3002461,synonym_cluster,name:gbif:3002461:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3052436,synonym_cluster,gbif:3052436,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3052436,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3052436,synonym_cluster,name:gbif:3052436:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3176787,synonym_cluster,gbif:3176787,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3176787,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3176787,synonym_cluster,name:gbif:3176787:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3189859,synonym_cluster,gbif:3189859,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3189859,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:3189859,synonym_cluster,name:gbif:3189859:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5284884,synonym_cluster,gbif:5284884,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5284884,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5284884,synonym_cluster,name:gbif:5284884:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5285637,synonym_cluster,gbif:5285637,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5285637,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5285637,synonym_cluster,name:gbif:5285637:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5290052,synonym_cluster,gbif:5290052,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5290052,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5290052,synonym_cluster,name:gbif:5290052:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5331916,synonym_cluster,gbif:5331916,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5331916,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5331916,synonym_cluster,name:gbif:5331916:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5553786,synonym_cluster,gbif:5553786,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5553786,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5553786,synonym_cluster,name:gbif:5553786:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:5553786,synonym_cluster,name:gbif:5553786:canonical,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:7795888,synonym_cluster,gbif:7795888,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:7795888,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:7795888,synonym_cluster,name:gbif:7795888:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:8395064,synonym_cluster,gbif:8395064,taxon,accepted_taxon,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:8395064,synonym_cluster,source:GBIF,source,source,1.000,0.800,GBIF,false
edge:synonym_cluster:gbif:8395064,synonym_cluster,name:gbif:8395064:query,name_string,name,1.000,0.800,GBIF,false
edge:synonym_cluster:ott:239659,synonym_cluster,ott:239659,taxon,accepted_taxon,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:239659,synonym_cluster,source:OpenTree,source,source,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:239659,synonym_cluster,name:ott:239659:query,name_string,name,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:259066,synonym_cluster,ott:259066,taxon,accepted_taxon,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:259066,synonym_cluster,source:OpenTree,source,source,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:259066,synonym_cluster,name:ott:259066:query,name_string,name,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:267719,synonym_cluster,ott:267719,taxon,accepted_taxon,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:267719,synonym_cluster,source:OpenTree,source,source,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:267719,synonym_cluster,name:ott:267719:query,name_string,name,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:274405,synonym_cluster,ott:274405,taxon,accepted_taxon,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:274405,synonym_cluster,source:OpenTree,source,source,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:274405,synonym_cluster,name:ott:274405:query,name_string,name,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:309263,synonym_cluster,ott:309263,taxon,accepted_taxon,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:309263,synonym_cluster,source:OpenTree,source,source,1.000,0.800,OpenTree,false
edge:synonym_cluster:ott:309263,synonym_cluster,name:ott:309263:query,name_string,name,1.000,0.800,OpenTree,false
