edge_type	raw_scientific_name	canonical_node_id	node_roles_json	source_id	source_name	source_version_or_release	access_date	license	attribution	confidence	source_reliability	allowed_evidence_scope	caveats_json	temporal_annotation
vavilov_center_hyperedge	Coffea arabica	cultivar:Coffea_arabica	"{""crop_taxon"": ""cultivar:Coffea_arabica"", ""vavilov_center"": ""vc:abyssinian"", ""region"": ""Horn of Africa (Ethiopia, Eritrea)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Lashermes P. et al. 1999, Mol. Gen. Genet. 261:259-266 \u2014 Molecular characterisation and origin of the Coffea arabica L. genome""}"	
vavilov_center_hyperedge	Nicotiana tabacum	cultivar:Nicotiana_tabacum	"{""crop_taxon"": ""cultivar:Nicotiana_tabacum"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Ren N. & Timko M.P. 2001, Genome 44:559-571""}"	
vavilov_center_hyperedge	Fragaria x ananassa	cultivar:Fragaria_x_ananassa	"{""crop_taxon"": ""cultivar:Fragaria_x_ananassa"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Edger P.P. et al. 2019, Nat. Genet. 51:541-547 \u2014 Origin and evolution of the octoploid strawberry genome""}"	
vavilov_center_hyperedge	Manihot esculenta	cultivar:Manihot_esculenta	"{""crop_taxon"": ""cultivar:Manihot_esculenta"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Olsen K.M. & Schaal B.A. 1999, PNAS 96:5586-5591 \u2014 Evidence on the origin of cassava""}"	
vavilov_center_hyperedge	Solanum tuberosum	cultivar:Solanum_tuberosum	"{""crop_taxon"": ""cultivar:Solanum_tuberosum"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Spooner D.M. et al. 2005, PNAS 102:14694-14699 \u2014 A single domestication for potato based on multilocus AFLP genotyping""}"	
vavilov_center_hyperedge	Solanum lycopersicum	cultivar:Solanum_lycopersicum	"{""crop_taxon"": ""cultivar:Solanum_lycopersicum"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Razifard H. et al. 2020, Mol. Biol. Evol. 37:1118-1132 \u2014 Genomic evidence for complex domestication history of tomato""}"	
vavilov_center_hyperedge	Capsicum annuum	cultivar:Capsicum_annuum	"{""crop_taxon"": ""cultivar:Capsicum_annuum"", ""vavilov_center"": ""vc:south_mexican"", ""region"": ""Mexico, Mesoamerica"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Kraft K.H. et al. 2014, PNAS 111:6165-6170""}"	
vavilov_center_hyperedge	Glycine max	cultivar:Glycine_max	"{""crop_taxon"": ""cultivar:Glycine_max"", ""vavilov_center"": ""vc:chinese"", ""region"": ""East Asia (China, Korea, Japan)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Carter T.E. et al. 2004, in Soybeans: Improvement, Production, and Uses ASA-CSSA-SSSA""}"	
vavilov_center_hyperedge	Phaseolus vulgaris	cultivar:Phaseolus_vulgaris	"{""crop_taxon"": ""cultivar:Phaseolus_vulgaris"", ""vavilov_center"": ""vc:south_mexican"", ""region"": ""Mexico, Mesoamerica"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Bitocchi E. et al. 2013, New Phytol. 197:300-313 \u2014 Mesoamerican origin of the common bean""}"	
vavilov_center_hyperedge	Cicer arietinum	cultivar:Cicer_arietinum	"{""crop_taxon"": ""cultivar:Cicer_arietinum"", ""vavilov_center"": ""vc:near_eastern"", ""region"": ""Levant, Anatolia, Iran"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Varshney R.K. et al. 2013, Nat. Biotechnol. 31:240-246; Singh K.B. 1997 Field Crops Res. 53:161-170""}"	
vavilov_center_hyperedge	Lens culinaris	cultivar:Lens_culinaris	"{""crop_taxon"": ""cultivar:Lens_culinaris"", ""vavilov_center"": ""vc:near_eastern"", ""region"": ""Levant, Anatolia, Iran"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Ladizinsky G. 1979, Euphytica 28:179-187""}"	
vavilov_center_hyperedge	Pisum sativum	cultivar:Pisum_sativum	"{""crop_taxon"": ""cultivar:Pisum_sativum"", ""vavilov_center"": ""vc:near_eastern"", ""region"": ""Levant, Anatolia, Iran"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Smykal P. et al. 2011, Czech J. Genet. Plant Breed. 47:S38-S44""}"	
vavilov_center_hyperedge	Hordeum vulgare	cultivar:Hordeum_vulgare	"{""crop_taxon"": ""cultivar:Hordeum_vulgare"", ""vavilov_center"": ""vc:near_eastern"", ""region"": ""Levant, Anatolia, Iran"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Pourkheirandish M. et al. 2015, Cell 162:527-539""}"	
vavilov_center_hyperedge	Oryza sativa subsp. japonica	cultivar:Oryza_sativa_subsp._japonica	"{""crop_taxon"": ""cultivar:Oryza_sativa_subsp._japonica"", ""vavilov_center"": ""vc:chinese"", ""region"": ""East Asia (China, Korea, Japan)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Huang X. et al. 2012, Nature 490:497-501 \u2014 A map of rice genome variation reveals the origin of cultivated rice""}"	
vavilov_center_hyperedge	Oryza sativa subsp. indica	cultivar:Oryza_sativa_subsp._indica	"{""crop_taxon"": ""cultivar:Oryza_sativa_subsp._indica"", ""vavilov_center"": ""vc:indian"", ""region"": ""South Asia (India, Indo-Burma)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Huang X. et al. 2012, Nature 490:497-501; Choi J.Y. et al. 2017, Mol. Biol. Evol. 34:969-979""}"	
vavilov_center_hyperedge	Zea mays subsp. mays	cultivar:Zea_mays_subsp._mays	"{""crop_taxon"": ""cultivar:Zea_mays_subsp._mays"", ""vavilov_center"": ""vc:south_mexican"", ""region"": ""Mexico, Mesoamerica"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Matsuoka Y. et al. 2002, PNAS 99:6080-6084""}"	
vavilov_center_hyperedge	Sorghum bicolor	cultivar:Sorghum_bicolor	"{""crop_taxon"": ""cultivar:Sorghum_bicolor"", ""vavilov_center"": ""vc:abyssinian"", ""region"": ""Horn of Africa (Ethiopia, Eritrea)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Wendorf F. et al. 1992; Mace E.S. et al. 2013, Nat. Commun. 4:2320""}"	
vavilov_center_hyperedge	Pennisetum glaucum (Cenchrus americanus)	cultivar:Pennisetum_glaucum_Cenchrus_americanus	"{""crop_taxon"": ""cultivar:Pennisetum_glaucum_Cenchrus_americanus"", ""vavilov_center"": ""vc:west_african"", ""region"": ""Sudanian / Sahelian West Africa"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Burgarella C. et al. 2018, Curr. Biol. 28:2511-2517 \u2014 A western Sahara centre of domestication inferred from pearl millet genomes""}"	
vavilov_center_hyperedge	Eleusine coracana	cultivar:Eleusine_coracana	"{""crop_taxon"": ""cultivar:Eleusine_coracana"", ""vavilov_center"": ""vc:abyssinian"", ""region"": ""Horn of Africa (Ethiopia, Eritrea)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Hilu K.W. & de Wet J.M.J. 1976, Econ. Bot. 30:199-208""}"	
vavilov_center_hyperedge	Digitaria exilis (fonio)	cultivar:Digitaria_exilis_fonio	"{""crop_taxon"": ""cultivar:Digitaria_exilis_fonio"", ""vavilov_center"": ""vc:west_african"", ""region"": ""Sudanian / Sahelian West Africa"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Adoukonou-Sagbadja H. et al. 2007, Genet. Resour. Crop Evol. 54:1395-1407""}"	
vavilov_center_hyperedge	Eragrostis tef	cultivar:Eragrostis_tef	"{""crop_taxon"": ""cultivar:Eragrostis_tef"", ""vavilov_center"": ""vc:abyssinian"", ""region"": ""Horn of Africa (Ethiopia, Eritrea)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Ingram A.L. & Doyle J.J. 2003, Am. J. Bot. 90:116-122""}"	
vavilov_center_hyperedge	Vigna subterranea (bambara groundnut)	cultivar:Vigna_subterranea_bambara_groundnut	"{""crop_taxon"": ""cultivar:Vigna_subterranea_bambara_groundnut"", ""vavilov_center"": ""vc:west_african"", ""region"": ""Sudanian / Sahelian West Africa"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Pasquet R.S. et al. 1999, Theor. Appl. Genet. 99:1104-1111""}"	
vavilov_center_hyperedge	Vitis vinifera subsp. vinifera	cultivar:Vitis_vinifera_subsp._vinifera	"{""crop_taxon"": ""cultivar:Vitis_vinifera_subsp._vinifera"", ""vavilov_center"": ""vc:mediterranean"", ""region"": ""Mediterranean basin"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Myles S. et al. 2011, PNAS 108:3530-3535 \u2014 Genetic structure and domestication history of the grape""}"	
vavilov_center_hyperedge	Olea europaea subsp. europaea var. europaea	cultivar:Olea_europaea_subsp._europaea_var._europaea	"{""crop_taxon"": ""cultivar:Olea_europaea_subsp._europaea_var._europaea"", ""vavilov_center"": ""vc:mediterranean"", ""region"": ""Mediterranean basin"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Diez C.M. et al. 2015, New Phytol. 206:436-447""}"	
vavilov_center_hyperedge	Citrus x sinensis (sweet orange)	cultivar:Citrus_x_sinensis_sweet_orange	"{""crop_taxon"": ""cultivar:Citrus_x_sinensis_sweet_orange"", ""vavilov_center"": ""vc:indo_malay"", ""region"": ""SE Asia, Malay Archipelago, New Guinea"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Wu G.A. et al. 2018, Nature 554:311-316 \u2014 Genomics of the origin and evolution of Citrus""}"	
