crop_taxon	crop_accepted_taxon_key	wild_ancestor_node	wild_ancestor_name	wild_ancestor_accepted_key	pair_join_status	source_id
Phaseolus vulgaris		wild_ancestor:Phaseolus_vulgaris_wild_Mesoamerican_gene_pool	Phaseolus vulgaris wild Mesoamerican gene pool		data-limited	curated_breeder_pedigree_literature
Cicer arietinum		wild_ancestor:Cicer_reticulatum_wild_progenitor	Cicer reticulatum		data-limited	curated_breeder_pedigree_literature
Cicer arietinum		wild_ancestor:Cicer_echinospermum_introgression	Cicer echinospermum		data-limited	curated_breeder_pedigree_literature
Lens culinaris		wild_ancestor:Lens_orientalis_wild_progenitor	Lens orientalis		data-limited	curated_breeder_pedigree_literature
Pisum sativum		wild_ancestor:Pisum_sativum_subsp._elatius_wild_progenitor	Pisum sativum subsp. elatius		data-limited	curated_breeder_pedigree_literature
Hordeum vulgare		wild_ancestor:Hordeum_vulgare_subsp._spontaneum_wild_barley	Hordeum vulgare subsp. spontaneum		data-limited	curated_breeder_pedigree_literature
Oryza sativa subsp. japonica		wild_ancestor:Oryza_rufipogon_Chinese_populations	Oryza rufipogon		data-limited	curated_breeder_pedigree_literature
Oryza sativa subsp. indica		wild_ancestor:Oryza_rufipogon_South_Asian_populations	Oryza rufipogon		data-limited	curated_breeder_pedigree_literature
Oryza sativa subsp. indica		wild_ancestor:introgression_from_Oryza_nivara	introgression from Oryza nivara		data-limited	curated_breeder_pedigree_literature
Zea mays subsp. mays		wild_ancestor:Zea_mays_subsp._parviglumis_Balsas_teosinte	Zea mays subsp. parviglumis		data-limited	curated_breeder_pedigree_literature
Sorghum bicolor		wild_ancestor:Sorghum_bicolor_subsp._verticilliflorum_wild_progenitor	Sorghum bicolor subsp. verticilliflorum		data-limited	curated_breeder_pedigree_literature
Pennisetum glaucum (Cenchrus americanus)		wild_ancestor:Pennisetum_violaceum___Pennisetum_mollissimum_wild_progenitors	Pennisetum violaceum / Pennisetum mollissimum		data-limited	curated_breeder_pedigree_literature
Eleusine coracana		wild_ancestor:Eleusine_indica_+_Eleusine_africana_allotetraploid_progenitor_pair	Eleusine indica + Eleusine africana		data-limited	curated_breeder_pedigree_literature
Digitaria exilis (fonio)		wild_ancestor:Digitaria_longiflora_probable_wild_progenitor	Digitaria longiflora		data-limited	curated_breeder_pedigree_literature
Eragrostis tef		wild_ancestor:Eragrostis_pilosa_probable_wild_progenitor	Eragrostis pilosa		data-limited	curated_breeder_pedigree_literature
Vigna subterranea (bambara groundnut)		wild_ancestor:Vigna_subterranea_var._spontanea_wild_progenitor	Vigna subterranea var. spontanea		data-limited	curated_breeder_pedigree_literature
Vitis vinifera subsp. vinifera		wild_ancestor:Vitis_vinifera_subsp._sylvestris_wild_progenitor	Vitis vinifera subsp. sylvestris		data-limited	curated_breeder_pedigree_literature
Olea europaea subsp. europaea var. europaea		wild_ancestor:Olea_europaea_subsp._europaea_var._sylvestris_wild_olive	Olea europaea subsp. europaea var. sylvestris		data-limited	curated_breeder_pedigree_literature
Citrus x sinensis (sweet orange)		wild_ancestor:Citrus_maxima_pummelo	Citrus maxima		data-limited	curated_breeder_pedigree_literature
Citrus x sinensis (sweet orange)		wild_ancestor:Citrus_reticulata_mandarin	Citrus reticulata		data-limited	curated_breeder_pedigree_literature
Citrus x limon (lemon)		wild_ancestor:Citrus_medica_citron	Citrus medica		data-limited	curated_breeder_pedigree_literature
Citrus x limon (lemon)		wild_ancestor:Citrus_x_aurantium_sour_orange_which_is_itself_C._maxima_x_C._reticulata	Citrus x aurantium		data-limited	curated_breeder_pedigree_literature
Theobroma cacao		wild_ancestor:Theobroma_cacao_Criollo_population	Theobroma cacao Criollo population		data-limited	curated_breeder_pedigree_literature
Theobroma cacao		wild_ancestor:Theobroma_cacao_Forastero_Amazonian_populations	Theobroma cacao Forastero/Amazonian populations		data-limited	curated_breeder_pedigree_literature
Saccharum officinarum		wild_ancestor:Saccharum_spontaneum_wild_progenitor	Saccharum spontaneum		data-limited	curated_breeder_pedigree_literature
Saccharum officinarum		wild_ancestor:Saccharum_robustum	Saccharum robustum		data-limited	curated_breeder_pedigree_literature
Ipomoea batatas		wild_ancestor:Ipomoea_trifida_probable_wild_progenitor	Ipomoea trifida		data-limited	curated_breeder_pedigree_literature
Ipomoea batatas		wild_ancestor:Ipomoea_triloba_introgression	Ipomoea triloba		data-limited	curated_breeder_pedigree_literature
Avena sativa	wfo:wfo-0000852231-2025-12	wild_ancestor:Avena_sterilis_wild_progenitor	Avena sterilis	wfo:wfo-0000852332-2025-12	joined	curated_breeder_pedigree_literature
Secale cereale		wild_ancestor:Secale_cereale_subsp._segetale___S._cereale_subsp._dighoricum_weedy_wild_progenitors	Secale cereale subsp. segetale / S. cereale subsp. dighoricum		data-limited	curated_breeder_pedigree_literature
Helianthus annuus		wild_ancestor:Helianthus_annuus_wild_populations_mid-continental_N._America	Helianthus annuus wild populations		data-limited	curated_breeder_pedigree_literature
Beta vulgaris (sugar beet/chard/garden beet)		wild_ancestor:Beta_vulgaris_subsp._maritima_sea_beet	Beta vulgaris subsp. maritima	wfo:wfo-0000564998-2025-12	data-limited	curated_breeder_pedigree_literature
