taxon	accepted_key	role	crop_anchor	source	n_coordinates_used	coordinate_filter_version	bioclim_variable	mean	median	min	max	aggregation_method	raster_or_climate_source	license_access_note	caveat	extraction_status
Arachis ipaensis	wfo:wfo-0000193806-2025-12	seed_panel		GBIF:Tropicos:90fd6680-349f-11d8-aa2d-b8a03c50a862	10	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Arachis ipaensis	wfo:wfo-0000193806-2025-12	wild_relative	Arachis hypogaea	GBIF:Tropicos:90fd6680-349f-11d8-aa2d-b8a03c50a862	10	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Avena sativa	wfo:wfo-0000852231-2025-12	crop_anchor	Avena sativa	GBIF_iNaturalist_mediated	106	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Avena sativa	wfo:wfo-0000852231-2025-12	seed_panel		GBIF_iNaturalist_mediated	106	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Avena sterilis	wfo:wfo-0000852332-2025-12	seed_panel		GBIF_iNaturalist_mediated	6	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Avena sterilis	wfo:wfo-0000852332-2025-12	wild_relative	Avena sativa	GBIF_iNaturalist_mediated	6	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Cajanus cajan		heldout_crop	Cajanus cajan	GBIF_iNaturalist_mediated	37	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Carica papaya		heldout_crop	Carica papaya	GBIF_iNaturalist_mediated	16	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Chenopodium quinoa		heldout_crop	Chenopodium quinoa	GBIF:Tedersoo L et al. Global soil samples:0870a77b-587c-4369-a8ed-bc3d347b8e1c	45	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Citrullus lanatus		heldout_crop	Citrullus lanatus	GBIF_iNaturalist_mediated	51	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Colocasia esculenta		heldout_crop	Colocasia esculenta	GBIF_iNaturalist_mediated	52	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Dioscorea alata		heldout_crop	Dioscorea alata	GBIF_iNaturalist_mediated	44	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Elettaria cardamomum		heldout_crop	Elettaria cardamomum	GBIF:216459af-dd06-4cbb-920f-80b312b8bf09:1928bdf0-f5d2-11dc-8c12-b8a03c50a862	118	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Lablab purpureus		heldout_crop	Lablab purpureus	GBIF_iNaturalist_mediated	50	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Mangifera indica		heldout_crop	Mangifera indica	GBIF_iNaturalist_mediated	39	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Persea americana		heldout_crop	Persea americana	GBIF_iNaturalist_mediated	50	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Psidium guajava		heldout_crop	Psidium guajava	GBIF_iNaturalist_mediated	34	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Sesamum indicum		heldout_crop	Sesamum indicum	GBIF_iNaturalist_mediated	41	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Setaria italica		heldout_crop	Setaria italica	GBIF:Artportalen:b8323864-602a-4a7d-9127-bb903054e97d	98	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
Vigna unguiculata		heldout_crop	Vigna unguiculata	GBIF:7a3679ef-5582-4aaa-81f0-8c2545cafc81:da86174a-a605-43a4-a5e8-53d484152cd3	134	gbif_cc0_ccby_uncertainty50km_no_severe_geospatial_issue_v1	none_computed					not_computed	none_found_in_workspace	GBIF occurrence metadata cached locally with dataset keys/licenses; climate rasters not redistributed	post-filter occurrence coordinates may exist, but no local WorldClim/CHELSA raster or sampled climate file was found; climate mismatch remains undefined	not_computed_no_local_raster_or_runtime
