ablation,model,split,case_type,n,flat_exact_match,synonym_normalized_exact_match,mean_hierarchy_distance,hierarchy_coherence_violation_rate,mean_reticulate_near_miss,flat_exact_match_delta_vs_none,synonym_normalized_exact_match_delta_vs_none,mean_hierarchy_distance_delta_vs_none
remove_occurrence_geography_context,flat_lookup_or_centroid,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
remove_occurrence_geography_context,tree_dag,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_occurrence_geography_context,ordinary_graph,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_occurrence_geography_context,clique_expansion,test,all,22,0.454545,0.454545,1.727273,0.000000,0.454545,0.045454,0.045454,-0.363636
remove_occurrence_geography_context,native_hypergraph,test,all,22,0.409091,0.409091,1.772727,0.000000,0.409091,0.000000,0.000000,0.000000
remove_reticulate,label_frequency,test,all,22,0.000000,0.000000,4.409091,0.000000,0.000000,0.000000,0.000000,0.000000
remove_reticulate,taxonomy_depth,test,all,22,0.000000,0.000000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000
remove_reticulate,flat_lookup_or_centroid,test,all,22,0.000000,0.000000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000
remove_reticulate,tree_dag,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_reticulate,ordinary_graph,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_reticulate,clique_expansion,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.090909
remove_reticulate,native_hypergraph,test,all,22,0.409091,0.409091,1.772727,0.000000,0.409091,0.000000,0.000000,0.000000
remove_missing_rank_bridge,label_frequency,test,all,22,0.000000,0.000000,4.409091,0.000000,0.000000,0.000000,0.000000,0.000000
remove_missing_rank_bridge,taxonomy_depth,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
remove_missing_rank_bridge,flat_lookup_or_centroid,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
remove_missing_rank_bridge,tree_dag,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_missing_rank_bridge,ordinary_graph,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
remove_missing_rank_bridge,clique_expansion,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.090909
remove_missing_rank_bridge,native_hypergraph,test,all,22,0.454545,0.454545,2.000000,0.000000,0.454545,0.045454,0.045454,0.227273
collapse_to_clique_expansion,label_frequency,test,all,22,0.000000,0.000000,4.409091,0.000000,0.000000,0.000000,0.000000,0.000000
collapse_to_clique_expansion,taxonomy_depth,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
collapse_to_clique_expansion,flat_lookup_or_centroid,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
collapse_to_clique_expansion,tree_dag,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
collapse_to_clique_expansion,ordinary_graph,test,all,22,0.409091,0.409091,2.181818,0.000000,0.409091,0.000000,0.000000,0.000000
collapse_to_clique_expansion,clique_expansion,test,all,22,0.409091,0.409091,2.090909,0.000000,0.409091,0.000000,0.000000,0.000000
collapse_to_clique_expansion,native_hypergraph,test,all,22,0.409091,0.409091,2.090909,0.000000,0.409091,0.000000,0.000000,0.318182
randomize_accepted_names,label_frequency,test,all,22,0.000000,0.000000,4.409091,0.000000,0.000000,0.000000,0.000000,0.000000
randomize_accepted_names,taxonomy_depth,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
randomize_accepted_names,flat_lookup_or_centroid,test,all,22,0.000000,0.000000,3.500000,0.000000,0.022727,0.000000,0.000000,0.000000
randomize_accepted_names,tree_dag,test,all,22,0.000000,0.000000,3.681818,0.000000,0.022727,-0.409091,-0.409091,1.500000
randomize_accepted_names,ordinary_graph,test,all,22,0.000000,0.000000,3.681818,0.000000,0.022727,-0.409091,-0.409091,1.500000
randomize_accepted_names,clique_expansion,test,all,22,0.045455,0.045455,3.500000,0.000000,0.045455,-0.363636,-0.363636,1.409091
randomize_accepted_names,native_hypergraph,test,all,22,0.045455,0.045455,3.000000,0.000000,0.045455,-0.363636,-0.363636,1.227273
